Trial,Score,TotalScore,FeedbackType,EndPosX,EndPosY,Perturbation,PerturbationForce,NoiseMean,NoiseStd,NoiseInstance,Friction
60,0,17,endpos,666.5517410552005,422.1646538622239,None,0,0.0,1,-1.6277187144843808,0.984
61,0,17,endpos,621.764493954237,428.90026966987926,Sudden,2,0.0,1,-1.093691252864334,0.984
62,75,92,endpos,558.0500619420844,255.724055246212,Sudden,2,0.0,1,-1.1867197269664225,0.984
63,0,92,endpos,702.3137691499638,471.4278797456235,Sudden,2,0.0,1,-0.1483801804663161,0.984
64,0,92,endpos,857.7536735474915,589.2471578074395,Sudden,2,0.0,1,0.13559883193737338,0.984
65,0,92,endpos,828.0596543414543,345.2086911058128,Sudden,2,0.0,1,0.10178410965575009,0.984
66,0,92,endpos,765.617795388061,383.489916576971,Sudden,2,0.0,1,-0.17209332843863429,0.984
67,-50,42,endpos,703.2554114086374,-71.80281707121149,Sudden,2,0.0,1,-1.0127855538252624,0.984
68,0,42,endpos,940.0627497858486,652.4134952655415,Sudden,2,0.0,1,1.1457465913588718,0.984
69,0,42,endpos,966.2222296061835,755.6697879799109,Sudden,2,0.0,1,0.034823804097660706,0.984
70,0,42,endpos,888.6332023323695,643.7228902814601,Sudden,2,0.0,1,0.3859449197443615,0.984
71,0,42,endpos,813.9285106461266,424.6709331245291,Sudden,2,0.0,1,-0.7656279899023855,0.984
72,0,42,endpos,783.5859699666811,468.72514605051083,Sudden,2,0.0,1,0.4413257776623461,0.984
73,0,42,endpos,892.093999349082,619.9235022633541,Sudden,2,0.0,1,0.2916665356682189,0.984
74,-49,-7,endpos,854.7905369520889,319.4332453377474,Sudden,2,0.0,1,2.713332155216678,0.984
75,-42,-49,endpos,724.9230155919525,315.91303509673946,Sudden,2,0.0,1,-0.15289579006763399,0.984
76,0,-49,endpos,770.0158810936708,594.7038164567572,Sudden,2,0.0,1,-1.1646751578772578,0.984
77,76,27,endpos,539.2244390088155,227.24455801643424,Sudden,2,0.0,1,-1.096092104186945,0.984
78,0,27,endpos,806.8045528092854,345.9287765032117,Sudden,2,0.0,1,1.4361695791320588,0.984
79,0,27,endpos,717.4046329632395,114.23499534361754,Sudden,2,0.0,1,0.5676649746811934,0.984
80,0,27,endpos,744.4867861163088,394.6709331245294,Sudden,2,0.0,1,1.6357082535850962,0.984
81,0,27,endpos,960.844924719012,486.42787974562356,Sudden,2,0.0,1,1.4570981109116057,0.984
82,-50,-23,endpos,815.076762373249,29.207603184838916,Sudden,2,0.0,1,0.6315830319466951,0.984
83,0,-23,endpos,747.4237682369519,592.4766465013188,Sudden,2,0.0,1,-1.314146324733412,0.984
84,0,-23,endpos,831.5446738437898,572.20644129944,Sudden,2,0.0,1,0.15194377440862933,0.984
85,0,-23,endpos,816.696345122743,695.4424828861331,Sudden,2,0.0,1,-0.6869518441970003,0.984
86,0,-23,endpos,836.2676357495473,420.46766988543897,Sudden,2,0.0,1,1.1557783652964129,0.984
87,0,-23,endpos,885.9671131576357,500.23427950413316,Sudden,2,0.0,1,0.5998337244931802,0.984
88,0,-23,endpos,748.3804549119349,502.9867732159348,Sudden,2,0.0,1,0.5825406671343587,0.984
89,0,-23,endpos,870.3741976412899,540.2342795041333,Sudden,2,0.0,1,0.39256374005728206,0.984
90,0,-23,endpos,736.5117215488024,447.2178004169513,Sudden,2,0.0,1,-0.723630922861875,0.984
91,0,-23,endpos,523.4949606860514,408.93083740386356,None,0,0.0,1,-1.02661962319978,0.984
92,83,60,endpos,412.6459942677907,245.72405524621192,None,0,0.0,1,-0.6038070521428816,0.984
93,72,132,endpos,623.2166290690974,287.71764079747635,None,0,0.0,1,0.9755831737976594,0.984
94,-28,104,endpos,445.3206542136896,329.4332453377474,None,0,0.0,1,0.7413744067997468,0.984
95,0,104,endpos,589.9824475643259,372.92877650321174,None,0,0.0,1,0.23389131099425362,0.984
96,-50,54,endpos,161.69541872240575,-456.2669675625743,None,0,0.0,1,1.0113673286901237,0.984
97,0,54,endpos,461.47474078022117,55.71576717754944,None,0,0.0,1,1.9472516835318785,0.984
98,0,54,endpos,622.7397459607083,504.9805138778517,None,0,0.0,1,-0.5602374886545244,0.984
99,0,54,endpos,289.69246839742124,171.2349953436174,None,0,0.0,1,1.0848974077818816,0.984
