Trial,Score,TotalScore,FeedbackType,EndPosX,EndPosY,Perturbation,PerturbationForce,NoiseMean,NoiseStd,NoiseInstance,Friction
1,72,72,endpos,620.6006173512528,284.2012347025067,None,0,0.0,0,0.0,0.984
2,0,72,endpos,608.5273789458258,475.7251460505109,None,0,0.0,0,0.0,0.984
3,73,145,endpos,596.9840679220504,248.91303509673912,None,0,0.0,0,0.0,0.984
4,0,145,endpos,562.3971497186358,447.66093029118747,None,0,0.0,0,0.0,0.984
5,77,222,endpos,525.7859324174968,197.92468795294224,None,0,0.0,0,0.0,0.984
6,0,222,endpos,724.9694584589865,492.42787974562344,None,0,0.0,0,0.0,0.984
7,0,222,endpos,662.0385113169168,418.73451993932883,None,0,0.0,0,0.0,0.984
8,0,222,endpos,752.9052916804426,705.7368750158956,None,0,0.0,0,0.0,0.984
9,-33,189,endpos,549.6593647394864,316.48904710922875,None,0,0.0,0,0.0,0.984
10,0,189,endpos,756.696008622413,449.7345199393286,None,0,0.0,0,0.0,0.984
11,0,189,endpos,857.1227241455583,558.4800557375306,Sudden,2,0.0,0,0.0,0.984
12,-44,145,endpos,751.6375169978388,335.4332453377474,Sudden,2,0.0,0,0.0,0.984
13,0,145,endpos,885.5331115170512,482.42787974562356,Sudden,2,0.0,0,0.0,0.984
14,0,145,endpos,853.9604753597687,601.6868740610367,Sudden,2,0.0,0,0.0,0.984
15,65,210,endpos,759.2804782105586,195.92468795294235,Sudden,2,0.0,0,0.0,0.984
16,0,210,endpos,869.8466396962472,372.20869110581293,Sudden,2,0.0,0,0.0,0.984
17,0,210,endpos,994.1789691977217,437.1997629961686,Sudden,2,0.0,0,0.0,0.984
18,66,276,endpos,740.7085641852353,241.72405524621175,Sudden,2,0.0,0,0.0,0.984
19,0,276,endpos,759.0882973788019,432.4278797456236,Sudden,2,0.0,0,0.0,0.984
20,0,276,endpos,866.7126655674269,407.22030058952504,Sudden,2,0.0,0,0.0,0.984
21,0,276,endpos,928.6948253245101,503.23441038434305,Sudden,2,0.0,0,0.0,0.984
22,0,276,endpos,870.4724355407118,428.93083740386356,Sudden,2,0.0,0,0.0,0.984
23,0,276,endpos,1000.2454368423626,457.725146050511,Sudden,2,0.0,0,0.0,0.984
24,0,276,endpos,910.7963281086402,646.7228902814601,Sudden,2,0.0,0,0.0,0.984
25,0,276,endpos,952.7047198001205,514.9661942786249,Sudden,2,0.0,0,0.0,0.984
26,-50,226,endpos,278.47522762775054,-561.3228173771012,Sudden,2,0.0,0,0.0,0.984
27,-50,176,endpos,551.4462564192596,-69.59358801153186,Sudden,2,0.0,0,0.0,0.984
28,0,176,endpos,823.2534279205966,525.2344103843425,Sudden,2,0.0,0,0.0,0.984
29,0,176,endpos,809.1822545806568,410.7345199393289,Sudden,2,0.0,0,0.0,0.984
30,67,243,endpos,714.4450580974309,228.17841983889647,Sudden,2,0.0,0,0.0,0.984
31,-41,202,endpos,696.1582113420698,323.4332453377474,Sudden,2,0.0,0,0.0,0.984
32,0,202,endpos,792.3899968185492,552.4447276326447,Sudden,2,0.0,0,0.0,0.984
33,0,202,endpos,907.3131570575132,571.4447276326447,Sudden,2,0.0,0,0.0,0.984
34,0,202,endpos,904.289862857845,422.48991657697144,Sudden,2,0.0,0,0.0,0.984
35,0,202,endpos,987.7629366887235,518.2344103843425,Sudden,2,0.0,0,0.0,0.984
36,-62,140,endpos,1096.1787857323523,335.4665434067818,Sudden,2,0.0,0,0.0,0.984
37,0,140,endpos,1183.9831119365583,499.486786302935,Sudden,2,0.0,0,0.0,0.984
38,-36,104,endpos,604.9268212991732,311.9537282140201,Sudden,2,0.0,0,0.0,0.984
39,0,104,endpos,732.9566366212017,539.4800557375306,Sudden,2,0.0,0,0.0,0.984
40,0,104,endpos,801.8956708588266,457.6609302911877,Sudden,2,0.0,0,0.0,0.984
41,0,104,endpos,707.9851242130052,590.6809920946569,None,0,0.0,0,0.0,0.984
42,81,185,endpos,426.22863355180885,295.6760264313583,None,0,0.0,0,0.0,0.984
43,0,185,endpos,583.3678273409178,535.9805138778527,None,0,0.0,0,0.0,0.984
44,0,185,endpos,476.59602037525707,427.21780041695143,None,0,0.0,0,0.0,0.984
45,0,185,endpos,406.37338086247286,344.74820095830376,None,0,0.0,0,0.0,0.984
46,76,261,endpos,537.6838356536514,207.90910204543619,None,0,0.0,0,0.0,0.984
47,0,261,endpos,421.75141557118667,178.9091020454363,None,0,0.0,0,0.0,0.984
48,0,261,endpos,245.85546678755875,146.43312983654582,None,0,0.0,0,0.0,0.984
49,0,261,endpos,674.1645864448841,639.4188115869451,None,0,0.0,0,0.0,0.984
50,0,261,endpos,422.65217664508907,407.9436421584284,None,0,0.0,0,0.0,0.984
51,0,261,endpos,678.7327465732983,508.26427130601513,None,0,0.0,1,-0.6298763871051615,0.989
52,0,261,endpos,705.605588002033,617.2186395037849,None,0,0.0,1,1.0953810766286303,0.989
53,-50,211,endpos,-16.451218493899727,-173.8354242082385,None,0,0.0,1,-1.6986224823252125,0.989
54,0,211,endpos,546.4657563511851,440.02035966051693,None,0,0.0,1,0.5260176030567574,0.989
55,0,211,endpos,550.7609457029125,376.72785520930535,None,0,0.0,1,1.4580815784568726,0.989
56,0,211,endpos,568.9840585159814,557.4048909753465,None,0,0.0,1,-0.14682058838335982,0.989
57,0,211,endpos,594.7067296250185,355.5525081576513,None,0,0.0,1,1.1189428605196559,0.989
58,0,211,endpos,631.7348411438142,505.82307013283594,None,0,0.0,1,0.6592998677395365,0.989
59,0,211,endpos,636.5920846903807,378.72785520930523,None,0,0.0,1,-0.22758212188182225,0.989
60,-32,179,endpos,517.7506799779756,339.3671507258743,None,0,0.0,1,-0.0736064088364705,0.989
61,0,179,endpos,535.8890234988836,362.3208235528555,Sudden,2,0.0,1,-0.44774795601531636,0.989
62,0,179,endpos,468.80424524936006,422.14536464521547,Sudden,2,0.0,1,-0.6857337743083136,0.989
63,0,179,endpos,753.0440536326345,592.9810952923551,Sudden,2,0.0,1,-1.0787219714339777,0.989
64,-38,141,endpos,650.308985437371,333.3671507258743,Sudden,2,0.0,1,0.03116960652777168,0.989
65,80,221,endpos,455.59173688288735,302.8567495677123,Sudden,2,0.0,1,-1.2391696649646746,0.989
66,0,221,endpos,635.0163846292885,106.98085420564581,Sudden,2,0.0,1,0.6185084192302552,0.989
67,-50,171,endpos,540.4918701530942,-204.95136149646342,Sudden,2,0.0,1,0.9462416097711148,0.989
68,0,171,endpos,869.5000381238535,512.0861169850044,Sudden,2,0.0,1,0.8665257445984803,0.989
69,-50,121,endpos,470.02552919000385,19.133531643430562,Sudden,2,0.0,1,0.3995417458251572,0.989
70,0,121,endpos,822.3439761284217,530.4048909753465,Sudden,2,0.0,1,0.8819300407535794,0.989
71,0,121,endpos,352.951724410254,151.57657249808244,Sudden,2,0.0,1,-1.5024618337854556,0.989
72,0,121,endpos,669.7090312653909,487.7260858512035,Sudden,2,0.0,1,-0.8802817531300746,0.989
73,-50,71,endpos,83.26515590381,-209.32096482958863,Sudden,2,0.0,1,0.38882254594713994,0.989
74,73,144,endpos,597.7986152062722,240.20622349878352,Sudden,2,0.0,1,0.6643106897128349,0.989
75,0,144,endpos,668.6105261909859,484.40132342803,Sudden,2,0.0,1,0.16852163729915134,0.989
76,0,144,endpos,681.4867530659819,391.5525081576514,Sudden,2,0.0,1,-0.11309821474122235,0.989
77,-50,94,endpos,565.0464287247323,37.32894755132524,Sudden,2,0.0,1,1.4879534170931101,0.989
78,0,94,endpos,795.6574276733505,374.72785520930523,Sudden,2,0.0,1,0.14205142690276887,0.989
79,0,94,endpos,710.582337984489,435.9924290806907,Sudden,2,0.0,1,0.6865602435254308,0.989
80,0,94,endpos,795.4227184144555,536.0030157345471,Sudden,2,0.0,1,0.9556424766537857,0.989
81,0,94,endpos,460.73195664559233,161.4126143432353,Sudden,2,0.0,1,0.05426025328642873,0.989
82,0,94,endpos,738.8006878755353,563.4669511246204,Sudden,2,0.0,1,0.535410435029686,0.989
83,0,94,endpos,810.9464378909693,598.852206099004,Sudden,2,0.0,1,0.18046347539989596,0.989
84,0,94,endpos,870.2333260969137,413.0203596605167,Sudden,2,0.0,1,-0.3807139828362042,0.989
85,0,94,endpos,446.9148766123164,71.70784902587114,Sudden,2,0.0,1,0.06141341331660403,0.989
86,68,162,endpos,687.8482597120816,284.06871525173483,Sudden,2,0.0,1,-0.3700020519679415,0.989
87,-50,112,endpos,491.27202685829985,-168.18486288404014,Sudden,2,0.0,1,-1.8425805984224324,0.989
88,-50,62,endpos,86.9522274829437,-475.13622247356096,Sudden,2,0.0,1,-1.077337010094477,0.989
89,73,135,endpos,604.3448566778783,279.7978742242685,Sudden,2,0.0,1,0.0996226779633425,0.989
90,0,135,endpos,924.2926816217469,860.0334252077058,Sudden,2,0.0,1,-1.0906896231064238,0.989
91,0,135,endpos,609.0256098689006,493.7260858512035,None,0,0.0,1,1.3626802292502749,0.989
92,0,135,endpos,501.79830433735253,409.0203596605167,None,0,0.0,1,0.8289239923255393,0.989
93,0,135,endpos,376.92666909290756,439.13804887259295,None,0,0.0,1,-0.9181845092703652,0.989
94,0,135,endpos,578.4548673841418,405.0203596605167,None,0,0.0,1,0.03162753515437304,0.989
95,0,135,endpos,316.62949084490134,113.15717333346622,None,0,0.0,1,0.5751292003281577,0.989
96,0,135,endpos,631.1868413823074,616.3131009375044,None,0,0.0,1,-0.5876651762384587,0.989
97,0,135,endpos,104.22292988976406,98.05744442679789,None,0,0.0,1,-1.431537197069565,0.989
98,0,135,endpos,512.1209701801334,518.7182207821209,None,0,0.0,1,-0.9078930642142438,0.989
99,-50,85,endpos,114.74480830532913,-236.45916116392613,None,0,0.0,1,0.7719288113853816,0.989
100,0,85,endpos,595.5113874508074,441.26738167697755,None,0,0.0,1,-0.37251236192912685,0.989
101,-50,35,endpos,-26.14096716715527,-186.03230092862506,None,0,1.5,2,-1.241868892936174,0.994
102,0,35,endpos,1718.8311016951027,442.33572560981713,None,0,1.5,2,6.294912433953291,0.994
103,0,35,endpos,721.791558969403,691.9207303509535,None,0,1.5,2,-0.12540881289071315,0.994
104,0,35,endpos,470.5692667155534,664.716161988117,None,0,1.5,2,-1.3681878449382903,0.994
105,0,35,endpos,646.5879884665142,624.5752574468721,None,0,1.5,2,-0.4382535298665189,0.994
106,0,35,endpos,55.28078351477524,640.8531284809708,None,0,1.5,2,-4.03805791982161,0.994
107,0,35,endpos,680.6524863902082,716.0424322087923,None,0,1.5,2,-0.267884160688711,0.994
108,0,35,endpos,755.2938511385067,751.1299563989741,None,0,1.5,2,-0.28577522406258793,0.994
109,0,35,endpos,872.7810283145221,693.9207303509535,None,0,1.5,2,1.2076133013502859,0.994
110,-50,-15,endpos,-217.4976391120891,236.7241209896576,None,0,1.5,2,-2.2929662459945455,0.994
111,0,-15,endpos,1674.5140645200702,751.4155523086357,Sudden,2,1.5,2,3.4306767212200686,0.994
112,0,-15,endpos,955.0626409582709,573.3122176445379,Sudden,2,1.5,2,-0.20909745481390773,0.994
113,0,-15,endpos,1027.9615728258912,615.3117020281594,Sudden,2,1.5,2,0.14756127480284875,0.994
114,0,-15,endpos,915.849495991652,467.2718028198831,Sudden,2,1.5,2,0.16127703868631116,0.994
115,0,-15,endpos,891.7691005718453,166.62044267995617,Sudden,2,1.5,2,1.257455738460038,0.994
