Trial,Score,TotalScore,FeedbackType,EndPosX,EndPosY,Perturbation,PerturbationForce,NoiseMean,NoiseStd,NoiseInstance,Friction
1,0,0,endpos,729.4068761823366,668.8014022890267,None,0,0.0,0,0.0,0.9849
2,0,0,endpos,826.0839281418013,819.2366067848345,None,0,0.0,0,0.0,0.9849
3,0,0,endpos,466.33973261333693,514.1135693243222,None,0,0.0,0,0.0,0.9849
4,0,0,endpos,509.3802262115134,465.22347390940223,None,0,0.0,0,0.0,0.9849
5,-29,-29,endpos,464.19530097280006,335.7184187901405,None,0,0.0,0,0.0,0.9849
6,0,-29,endpos,447.1773689227317,526.0273544275249,None,0,0.0,0,0.0,0.9849
7,0,-29,endpos,650.7149881897826,631.7742559063566,None,0,0.0,0,0.0,0.9849
8,-50,-79,endpos,-135.33187007107117,-147.2510176489819,None,0,0.0,0,0.0,0.9849
9,-19,-98,endpos,275.1229304890303,335.5838771173421,None,0,0.0,0,0.0,0.9849
10,0,-98,endpos,383.5197649257351,359.7074361370184,None,0,0.0,0,0.0,0.9849
11,0,-98,endpos,408.752313403666,179.88561892282272,Sudden,2,0.0,0,0.0,0.9849
12,0,-98,endpos,657.4392402742429,385.0616591907775,Sudden,2,0.0,0,0.0,0.9849
13,87,-11,endpos,339.59237472486745,220.92481926773604,Sudden,2,0.0,0,0.0,0.9849
14,0,-11,endpos,671.2886723451636,530.1114297959452,Sudden,2,0.0,0,0.0,0.9849
15,0,-11,endpos,601.3411356698194,566.3216828946953,Sudden,2,0.0,0,0.0,0.9849
16,89,78,endpos,266.20502530043467,307.86878740454466,Sudden,2,0.0,0,0.0,0.9849
17,-50,28,endpos,72.40156124264355,53.68663749246949,Sudden,2,0.0,0,0.0,0.9849
18,0,28,endpos,506.8859630810788,389.0616591907773,Sudden,2,0.0,0,0.0,0.9849
19,0,28,endpos,267.4706339039971,187.6492485117059,Sudden,2,0.0,0,0.0,0.9849
20,-26,2,endpos,420.35340949082166,328.0660821789515,Sudden,2,0.0,0,0.0,0.9849
21,0,2,endpos,448.5243443133375,386.92044724700816,Sudden,2,0.0,0,0.0,0.9849
22,82,84,endpos,415.02675606196186,293.3376659012169,Sudden,2,0.0,0,0.0,0.9849
23,86,170,endpos,318.35340380318604,307.68054881756916,Sudden,2,0.0,0,0.0,0.9849
24,-50,120,endpos,-82.48545774935222,-188.40047629427826,Sudden,2,0.0,0,0.0,0.9849
25,83,203,endpos,397.27596809097344,294.92044724700804,Sudden,2,0.0,0,0.0,0.9849
26,-50,153,endpos,317.55228749478687,48.686637492469444,Sudden,2,0.0,0,0.0,0.9849
27,0,153,endpos,142.35285776135683,148.78693412136775,Sudden,2,0.0,0,0.0,0.9849
28,-50,103,endpos,-53.39329202913819,-173.86970069482396,Sudden,2,0.0,0,0.0,0.9849
29,82,185,endpos,409.45838646573725,305.06608217895166,Sudden,2,0.0,0,0.0,0.9849
30,-50,135,endpos,-111.40210563288824,-62.5079961748462,Sudden,2,0.0,0,0.0,0.9849
31,0,135,endpos,754.2121352279707,604.4079523614839,Sudden,2,0.0,0,0.0,0.9849
32,-50,85,endpos,74.3934954419943,-73.73341258799054,Sudden,2,0.0,0,0.0,0.9849
33,-50,35,endpos,192.2072783200041,-8.2272821732063,Sudden,2,0.0,0,0.0,0.9849
34,-30,5,endpos,498.2608643417078,330.2698336418604,Sudden,2,0.0,0,0.0,0.9849
35,-50,-45,endpos,32.52763379475751,-40.56649401773007,Sudden,2,0.0,0,0.0,0.9849
36,0,-45,endpos,567.6747463816423,451.54420422257306,Sudden,2,0.0,0,0.0,0.9849
37,76,31,endpos,537.0688118002402,283.80540041249867,Sudden,2,0.0,0,0.0,0.9849
