Trial,Score,TotalScore,FeedbackType,EndPosX,EndPosY,Perturbation,PerturbationForce
1,0,0,,546.9212850851646,634.9212850851646,None,0.0
2,0,0,,670.3079863730603,570.9415070147555,None,0.0
3,0,0,,482.4666919720309,529.9555892960408,None,0.0
4,-50,-50,,-88.02737039496955,10.861822609419756,None,0.0
5,-50,-100,,7.920418325149254,201.50321570727144,None,0.0
6,0,-100,,585.2677375709699,619.9212850851646,None,0.0
7,0,-100,,385.31082240269274,445.9758811457417,None,0.0
8,0,-100,,487.98371361015836,561.359731509523,None,0.0
9,0,-100,,94.98367979901072,361.928216310979,None,0.0
10,0,-100,,663.5016181713327,360.9212514854397,None,0.0
11,0,-100,,642.5601472884092,517.9753221933953,Gradual,0.2
12,86,-14,,286.0232748507407,300.9010625817655,Gradual,0.2
13,0,-14,,475.0252863654828,390.918051339504,Gradual,0.2
14,79,65,,423.9629600067739,282.93826667795685,Gradual,0.4
15,-28,37,,390.40000897663253,336.99001211845456,Gradual,0.4
16,80,117,,409.20383164727707,213.98665582244593,Gradual,0.4
17,0,117,,342.1131394854819,378.923196328637,Gradual,0.6000000000000001
18,-50,67,,1025.0754801148234,1017.1729566762366,Gradual,0.6000000000000001
19,0,67,,529.2439578034629,594.9550314806532,Gradual,0.6000000000000001
20,80,147,,396.5910349358956,268.9710528517394,Gradual,0.8
21,0,147,,488.5594339177749,448.95224456490047,Gradual,0.8
22,0,147,,428.1612204943345,483.90402215603694,Gradual,0.8
23,0,147,,385.5388561673049,462.9235355457876,Gradual,1.0
24,78,225,,442.94657230193496,247.96452655999911,Gradual,1.0
25,0,225,,357.9317880097212,385.92420889969117,Gradual,1.0
26,0,225,,428.9807049165935,408.97588114574194,Gradual,1.2
27,0,225,,489.4054081567634,408.91805133950413,Gradual,1.2
28,91,316,,174.9237523601894,306.13615296652296,Gradual,1.2
29,0,316,,333.92319632863683,417.72068211784784,Gradual,1.4
30,86,402,,281.24094482599384,316.95178673568483,Gradual,1.4
31,-36,366,,526.5735692455108,306.9279202185667,Gradual,1.4
32,0,366,,514.6491419752105,403.9946358022965,Gradual,1.5999999999999999
33,-50,316,,153.34869371976788,-31.05099927169786,Gradual,1.5999999999999999
34,0,316,,531.5292301734395,355.9144816903078,Gradual,1.5999999999999999
35,90,406,,175.9237523601894,328.97863308778926,Gradual,1.7999999999999998
36,0,406,,345.9758811457419,462.8674499073256,Gradual,1.7999999999999998
37,-31,375,,448.4598733406709,309.93826667795736,Gradual,1.7999999999999998
38,0,375,,407.88492099163966,424.9180513395038,Gradual,1.9999999999999998
39,-50,325,,25.971848509854215,18.903988614774914,Gradual,1.9999999999999998
40,95,420,,104.98966566064334,270.62121830987155,Gradual,1.9999999999999998
41,0,420,,138.1618413624534,112.95852322005894,None,0.0
42,0,420,,133.9289016970546,339.058239058479,None,0.0
43,0,420,,82.92499283884588,174.25438521459955,None,0.0
44,-50,370,,-146.0946230731345,244.84946276857744,None,0.0
45,91,461,,177.92375236018935,293.6635933303239,None,0.0
46,0,461,,375.5047992003584,400.9180513395042,None,0.0
47,0,461,,186.57007431797263,156.9523443692586,None,0.0
48,96,557,,99.92890169705409,249.92162181474376,None,0.0
49,0,557,,241.99001211845484,407.325010098712,None,0.0
50,-50,507,,34.94876237750786,173.92837649263512,None,0.0
51,0,507,trajectory,121.98367979901079,401.34094102868494,None,0.0
52,0,507,trajectory,407.33633547573976,388.92420889969105,None,0.0
53,-19,488,trajectory,243.9010625817659,333.7303546062173,None,0.0
54,89,577,trajectory,234.3216538787097,277.96452655999883,None,0.0
